name,positive_ratings_ratio,price,Peak Viewers,Day,Total viewers,ratingstotal,release_date,Sequel,Charity_stream,tournament,FPS,MOBA
The Long Dark,0.91430396,23.790001,33607,1/20/2020,1276009,50154,8/1/2017,0,0,0,0,0
Slime Rancher,0.96166068,14.99,37991,1/20/2020,618700,25170,8/1/2017,0,0,0,0,0
Hellblade: Senua's Sacrifice,0.91807371,24.99,83708,8/20/2020,717126,22032,8/7/2017,0,0,0,0,0
West of Loathing,0.97622871,8.29,37187,8/20/2020,717126,3113,8/10/2017,0,0,0,0,0
>observer_,0.80891514,22.99,38710,8/20/2020,717126,3051,8/15/2017,0,0,0,0,0
20XX,0.92668098,10.99,6749,10/20/2020,786585,2796,8/16/2017,0,0,0,0,0
Darkwood,0.94186616,11.99,39458,8/20/2020,717126,4094,8/17/2017,0,0,0,0,0
The Escapists 2,0.81333971,19.99,54879,8/20/2020,717126,6252,8/21/2017,1,0,0,0,0
Robocraft,0.72170782,0,11039,12/20/2020,659345,111347,8/24/2017,0,0,0,0,0
Comedy Night,0.76621002,3.99,32797,9/20/2020,732925,5475,8/24/2017,0,0,0,0,0
F1 2017,0.83128077,44.990002,46173,9/20/2020,732925,4060,8/24/2017,1,0,0,0,0
Fishing Planet,0.76068991,0,38821,4/20/2020,743596,13915,8/28/2017,0,0,0,0,0
Life is Strange: Before the Storm,0.93455327,13.99,40338,9/20/2020,732925,23225,8/31/2017,1,0,0,0,0
Idle Champions of the Forgotten Realms,0.81033999,0,9788,12/20/2020,780131,3559,9/7/2017,0,0,0,0,0
HIVESWAP: Act 1,0.94448054,5.5900002,1191,9/20/2020,732925,3080,9/14/2017,0,0,0,0,0
Divinity: Original Sin 2 - ,0.94713467,29.99,56005,9/20/2020,732925,46609,9/14/2017,1,0,0,0,0
Dishonored:: Death of the Outsider,0.84111601,19.99,131032,1/20/2020,1276009,3405,9/14/2017,0,1,0,0,0
Tricolour Lovestory,0.91037738,1.59,657,7/20/2020,1076453,12508,9/20/2017,0,0,0,0,0
Heat Signature,0.93654454,10.99,16945,9/20/2020,732925,3467,9/21/2017,0,0,0,0,0
Project CARS 2,0.70574367,44.990002,37062,9/20/2020,732925,5937,9/21/2017,1,0,0,0,0
Holdfast: Nations At War,0.8545633,14.99,43613,9/20/2020,732925,5095,9/21/2017,0,0,0,0,0
Danganronpa V3: Killing Harmony,0.85017055,30.99,15306,10/20/2020,786585,3811,9/25/2017,1,0,0,0,0
RUINER,0.90671706,14.99,45997,10/20/2020,786585,5821,9/26/2017,0,0,0,0,0
Total War: WARHAMMER II,0.86642277,39.990002,38377,9/20/2020,732925,22414,9/28/2017,0,0,0,0,0
Cuphead,0.95809376,14.99,184477,1/20/2020,1276009,40519,9/29/2017,0,1,0,0,0
Battle Chasers: Nightwar,0.88845927,24.99,31478,10/20/2020,1145919,3362,10/3/2017,0,0,0,1,0
Road Redemption,0.81930184,14.99,34215,10/20/2020,786585,5844,10/4/2017,0,0,0,0,0
A Hat in Time,0.97959614,22.99,173228,6/20/2020,1095466,14311,10/5/2017,0,1,0,0,0
Doki Doki Literature Club!,0.96800542,0,29839,12/20/2020,780131,112144,10/6/2017,0,0,0,0,0
Middle-earth: Shadow of War,0.77862924,34.990002,120873,10/20/2020,786585,25446,10/9/2017,0,0,0,0,0
The Evil Within 2,0.91822791,39.990002,157125,10/20/2020,786585,9661,10/12/2017,1,0,0,0,0
Dungeons 3,0.94443274,29.99,26948,10/20/2020,786585,9502,10/13/2017,1,0,0,0,0
Overgrowth,0.70874864,22.99,40894,11/20/2020,800069,4515,10/16/2017,0,0,0,0,0
South Park: The Fractured But Whole,0.70584804,49.990002,161626,10/20/2020,786585,6857,10/16/2017,1,0,0,0,0
Brawlhalla,0.83489639,0,39215,10/20/2020,1145919,87757,10/17/2017,0,0,0,0,0
ELEX,0.75272542,39.990002,56864,10/20/2020,786585,9815,10/17/2017,0,0,0,0,0
Bomber Crew,0.88594657,14.99,40036,10/20/2020,786585,4305,10/19/2017,0,0,0,0,0
Assassin's Creed: Revelations,0.84857184,12.49,3353,8/20/2020,717126,6967,10/26/2017,1,0,0,0,0
Wolfenstein II: The New Colossus,0.72451061,39.990002,86606,10/20/2020,786585,16193,10/26/2017,1,0,0,1,0
Sword Art Online: Hollow Realization Deluxe Edition,0.80179423,39.990002,1660,12/20/2020,1136970,3567,10/27/2017,0,0,0,0,0
MudRunner,0.83297706,19.99,36489,11/20/2020,800069,7017,10/30/2017,0,0,0,0,0
Codename CURE,0.8254174,0,726,6/20/2020,1095466,13896,10/31/2017,0,0,0,0,0
Fox Hime,0.86040872,1.6900001,86,1/20/2020,1357375,2887,11/2/2017,0,0,0,0,0
Hand of Fate 2,0.86614728,23.790001,45824,11/20/2020,800069,2824,11/7/2017,1,0,0,0,0
Nioh,0.78679353,39.990002,93044,2/20/2020,744805,12509,11/7/2017,0,0,0,0,0
Superflight,0.96449596,2.0899999,23456,12/20/2020,780131,5436,11/8/2017,0,0,0,0,0
Battlerite,0.83677918,0,52855,11/20/2020,800069,49093,11/8/2017,0,0,0,0,0
World of Warships,0.71906841,0,15376,4/20/2020,522493,13053,11/15/2017,0,0,0,0,0
Yu-Gi-Oh! Duel Links,0.75664639,0,22914,12/20/2020,780131,10532,11/16/2017,0,0,0,0,0
Tannenberg,0.83259791,15.49,37361,11/20/2020,800069,3626,11/16/2017,0,0,0,0,0
Injustice 2,0.7965734,39.990002,64375,5/20/2020,683590,4611,11/30/2017,1,0,0,0,0
Freddy Fazbear's Pizzeria Simulator,0.93116546,0,38225,12/20/2020,780131,8426,12/4/2017,0,0,0,0,0
Getting Over It with Bennett Foddy,0.7900843,5.79,86187,11/20/2020,800069,13877,12/6/2017,0,0,0,0,0
SpellForce 3,0.71620667,39.990002,11538,12/20/2020,780131,2826,12/7/2017,1,0,0,0,0
OKAMI HD ,0.92362458,15.99,29429,12/20/2020,780131,3090,12/12/2017,0,0,0,0,0
They Are Billions,0.85554218,19.49,96057,1/20/2020,967829,13298,12/12/2017,0,0,0,0,0
Finding Paradise,0.98164451,6.9899998,5111,8/20/2020,1150353,6701,12/14/2017,0,0,0,0,0
Gorogoa,0.97350043,11.39,27850,12/20/2020,780131,4868,12/14/2017,0,0,0,0,0
SCP: Secret Laboratory,0.84361911,0,44669,4/20/2020,1011491,23155,12/29/2017,0,0,0,0,0
The Red Strings Club,0.92402887,11.39,28221,2/20/2020,915659,2909,1/22/2018,0,0,0,0,0
Subnautica,0.94335967,19.49,60950,1/20/2020,1276009,95568,1/23/2018,0,0,0,0,0
Celeste,0.97233045,14.99,170522,1/20/2020,1276009,7445,1/25/2018,0,1,0,0,0
Railway Empire,0.80831534,39.990002,22910,2/20/2020,915659,3704,1/26/2018,0,0,0,0,0
DRAGON BALL FighterZ,0.82180244,44.990002,241067,8/20/2020,1150353,12705,1/26/2018,0,0,0,0,0
Freeman: Guerrilla Warfare,0.84315157,11.39,35900,7/20/2020,1076453,5483,2/1/2018,0,0,0,1,0
Closers,0.73738819,0,5541,7/20/2020,760689,2795,2/6/2018,0,0,0,0,0
Rust,0.80403823,27.790001,57838,2/20/2020,593219,274079,2/8/2018,0,0,0,0,0
Kingdom Come: Deliverance,0.7633673,29.99,211281,2/20/2020,915659,39331,2/13/2018,0,0,0,0,0
Hunt Showdown,0.74510866,25.99,135761,1/20/2020,967829,27753,2/22/2018,0,0,1,1,0
Sword Art Online: Fatal Bullet,0.73086864,34.990002,35909,2/20/2020,915659,7736,2/23/2018,1,0,0,0,0
SoulWorker - Anime Action MMO,0.75766832,0,7240,4/20/2020,1011491,7857,2/26/2018,0,0,0,0,0
Cyberdimension Neptunia: 4 Goddesses Online | åå¥³ç¥ãªã³ã©ã¤ã³ CYBER DIMENSION NEPTUNE | åå¥³ç¥ONLINE å¹»æ¬¡åéæ²æ°æ©å°å¥³,0.87600118,30.99,3309,8/20/2020,1150353,3371,2/27/2018,1,0,0,0,0
Into the Breach,0.92488098,11.39,39128,2/20/2020,915659,5671,2/27/2018,0,0,0,0,0
Deep Rock Galactic,0.92445004,24.99,50328,3/20/2020,971728,11092,2/28/2018,0,0,0,0,0
Pit People:,0.94173849,15.49,43407,1/20/2020,811003,5338,3/2/2018,0,0,0,0,0
FINAL FANTASY: XIII,0.71701586,10.99,8108,9/20/2020,506181,9785,3/6/2018,1,0,0,0,0
Northgard,0.84072137,23.790001,35853,11/20/2020,800069,14528,3/7/2018,0,0,0,0,0
Warhammer: Vermintide 2,0.74567515,23.790001,77418,3/20/2020,971728,28845,3/8/2018,1,0,0,0,0
Darwin Project,0.80997485,0,200629,3/20/2020,971728,11930,3/9/2018,0,0,0,1,0
Surviving Mars,0.71027029,26.99,36527,3/20/2020,971728,5550,3/15/2018,0,0,0,0,0
Sword With Sauce,0.83962262,2.0899999,741,3/20/2020,971728,4240,3/20/2018,0,0,0,0,0
Ni no Kuni II: Revenant Kingdom,0.83462936,49.990002,30369,3/20/2020,971728,3858,3/23/2018,1,0,0,0,0
Jalopy - The Road Trip Driving Indie Car Game (å¬è·¯æè¡é©¾é©¶æ¸¸æ),0.76057202,10.99,16010,5/20/2020,1024200,4895,3/28/2018,0,0,0,0,0
AirMech Strike,0.84140968,0,35060,4/20/2020,1234112,9080,3/30/2018,0,0,0,0,0
The Elder Scrolls: Online,0.78901779,14.99,151951,1/20/2020,1276009,70769,4/2/2018,0,0,0,0,0
Friday the 13th: Killer Puzzle,0.941,0,41537,4/20/2020,1011491,4000,4/12/2018,0,0,0,0,0
Amorous,0.79856973,0,180,3/20/2020,1637064,5034,4/13/2018,0,0,0,0,0
Marie's Room,0.94792087,0,1153,5/20/2020,1024200,4954,4/13/2018,0,0,0,0,0
Mirror,0.97468157,1.6900001,5184,7/20/2020,1076453,45066,4/19/2018,0,0,0,0,0
For The King,0.87854827,15.49,30372,1/20/2020,967829,12647,4/19/2018,0,0,0,0,0
BATTLETECH,0.79300958,34.990002,26795,4/20/2020,1011491,18368,4/24/2018,0,0,0,0,0
Frostpunk,0.89921135,24.99,58833,4/20/2020,1011491,45521,4/24/2018,0,0,0,0,0
Call to Arms,0.76693815,0,483,2/20/2020,915659,11173,4/27/2018,0,0,0,1,0
The Forest,0.93817169,15.49,53419,1/20/2020,1276009,177815,4/30/2018,0,0,0,0,0
Beat Saber,0.96019131,15.49,36416,5/20/2020,1024200,33661,5/1/2018,0,0,0,0,0
Pillars of Eternity II: Deadfire,0.86168055,32.990002,23893,5/20/2020,1024200,8878,5/8/2018,1,0,0,0,0
Paladins:,0.85341223,0,45152,1/20/2020,811003,260738,5/8/2018,0,0,0,0,1
Wizard of Legend,0.91663113,12.39,63341,5/20/2020,1024200,9380,5/15/2018,0,0,0,0,0
House Flipper,0.88043874,15.49,33266,5/20/2020,1024200,21972,5/17/2018,0,0,0,0,0
FAR: Lone Sails,0.93071918,11.39,33860,5/20/2020,1024200,5687,5/17/2018,0,0,0,0,0
Raft,0.88500936,14.99,136594,5/20/2020,1024200,47543,5/23/2018,0,0,0,0,0
Moonlighter,0.82708359,15.49,30600,5/20/2020,1024200,8027,5/29/2018,0,0,0,0,0
Vampyr,0.746960732,44.990002,114271,6/20/2020,1095466,9295,6/4/2018,0,0,0,0,0
Totally Accurate Battlegrounds,0.82268876,3.99,48676,6/20/2020,1095466,29389,6/5/2018,0,0,0,0,0
Jurassic World Evolution,0.80223429,34.990002,202465,6/20/2020,1095466,26496,6/11/2018,0,0,0,0,0
Wreckfest,0.81879001,38.990002,79719,6/20/2020,1095466,17339,6/14/2018,0,0,0,0,0
Cuisine Royale,0.8131935,0,58647,6/20/2020,1095466,22981,6/15/2018,0,0,0,0,0
Soul at Stake,0.780978098,13.99,11792,6/20/2020,1095466,6666,6/25/2018,0,0,0,0,0
The Awesome Adventures of Captain Spirit,0.926012,0,33924,6/20/2020,1095466,10326,6/25/2018,0,0,0,0,0
Ultimate Custom Night,0.95380242,0,25994,7/20/2020,1076453,14070,6/27/2018,0,0,0,0,0
Crash Bandicoot N. Sane Trilogy,0.931021485,34.990002,159634,1/20/2020,1276009,7959,6/29/2018,0,1,0,0,0
Dig or Die,0.90808609,9.29,29169,7/20/2020,1076453,3438,7/10/2018,0,0,0,0,0
The Vagrant,0.90823212,2.8900001,5377,8/20/2020,1150353,4446,7/13/2018,0,0,0,0,0
Stonehearth,0.7621803,15.49,6747,11/20/2020,1202989,8641,7/25/2018,0,0,0,0,0
Yakuza 0,0.91199126,14.99,20115,8/20/2020,1150353,19214,8/1/2018,1,0,0,0,0
Creative Destruction,0.79764497,0,78972,12/20/2020,1136970,12399,8/2/2018,0,0,0,1,0
Dead Cells,0.9648389,21.99,157015,1/20/2020,1276009,50027,8/6/2018,0,1,0,0,0
Fate Seeker,0.92023701,15.8,10937,8/20/2020,1150353,4388,8/7/2018,0,0,0,0,0
Overcooked! 2,0.88068214,19.99,56366,8/20/2020,1150353,17533,8/7/2018,1,0,0,0,0
TerraTech,0.8747215,19.99,30601,8/20/2020,1150353,9874,8/10/2018,0,0,0,0,0
We Happy Few,0.726767133,44.990002,46964,8/20/2020,1150353,5574,8/10/2018,0,0,0,0,0
Mist Survival,0.82483449,8.29,32268,8/20/2020,1150353,5589,8/14/2018,0,0,0,0,0
Graveyard Keeper,0.82954876,15.49,48576,8/20/2020,1150353,13740,8/15/2018,0,0,0,0,0
F1 2018,0.85470377,44.990002,26830,3/20/2020,1273772,5857,8/23/2018,1,0,0,0,0
Green Hell,0.8464808,15.49,43695,9/20/2020,1219579,12233,8/29/2018,0,0,0,0,0
Two Point Hospital,0.89995398,24.99,46234,9/20/2020,1132031,17382,8/29/2018,0,0,0,0,0
DRAGON QUEST: XI: Echoes of an Elusive Age - Digital Edition of Light,0.93174277,39.990002,23595,9/20/2020,1132031,6329,9/4/2018,1,0,0,0,0
Breathedge,0.91611769,12.39,23727,9/20/2020,1132031,4554,9/13/2018,0,0,0,0,0
Shadow of the Tomb Raider,0.79375597,44.990002,83572,9/20/2020,1132031,31390,9/14/2018,0,0,0,0,0
Distance,0.928318089,19.49,18884,4/20/2020,1011491,5357,9/18/2018,0,0,0,0,0
Ring of Elysium,0.76203641,0,57675,7/20/2020,1232340,87173,9/19/2018,0,0,0,1,0
CrossCode,0.9482048,14.99,23714,9/20/2020,1132031,8746,9/20/2018,0,0,0,0,0
Pathfinder: Kingmaker,0.7739375,34.990002,34102,9/20/2020,1132031,15624,9/25/2018,0,0,0,0,0
Life is Strange 2,0.83446404,6.4899998,49183,9/20/2020,1132031,14003,9/26/2018,1,0,0,0,0
MapleStory 2,0.74618428,0,33039,10/20/2020,1145919,8845,10/4/2018,1,0,0,0,0
Assassin's Creed: Origins,0.85320817,49.990002,80844,10/20/2020,786585,48579,10/5/2018,1,0,0,0,0
Farm Together,0.93585363,15.49,37932,2/20/2020,915659,9073,10/11/2018,0,0,0,0,0
RimWorld,0.98234621,27.790001,40076,3/20/2020,1637064,72619,10/17/2018,0,0,0,0,0
SOULCALIBUR VI,0.8057509,49.990002,41853,8/20/2020,1342559,6538,10/18/2018,1,0,0,0,0
Return of the Obra Dinn,0.9689464,15.49,48512,10/20/2020,1145919,7793,10/18/2018,0,0,0,0,0
Football Manager 2019,0.8536873,37.990002,23685,5/20/2020,1262560,10997,11/2/2018,1,0,0,0,0
Thronebreaker: The Witcher Tales,0.9082816,23.389999,121697,10/20/2020,1145919,7414,11/9/2018,0,0,0,0,0
HITMAN 2,0.8972765,44.990002,78744,11/20/2020,1202989,33157,11/13/2018,1,0,0,1,0
Farming Simulator 19,0.89970066,29.99,44919,12/20/2020,1136970,23051,11/19/2018,1,0,0,0,0
Age of Civilizations II,0.8258079,4.4899998,2475,4/20/2020,1011491,8726,11/21/2018,1,0,0,0,0
Darksiders III,0.75539656,44.990002,77310,11/20/2020,1202989,8246,11/27/2018,1,0,0,0,0
Mutant Year Zero: Road to Eden,0.90804997,29.99,43432,12/20/2020,1136970,14410,12/4/2018,0,0,0,0,0
DUSK,0.98353256,15,26539,12/20/2020,1136970,8198,12/10/2018,0,0,0,1,0
Insurgency: Sandstorm,0.8124832,25.99,46465,12/18/2020,1136970,48401,12/12/2018,0,0,0,1,0
GRIS,0.96792786,14.49,37570,12/18/2020,1136970,25505,12/13/2018,0,0,0,0,0
Book of Demons,0.92085639,19.99,39327,12/18/2020,1136970,8314,12/13/2018,0,0,0,0,0
My Time At Portia,0.92649167,24.99,27290,2/19/2020,1311802,22324,1/15/2019,0,0,0,0,0
DESOLATE,0.71034337,19.99,41835,1/19/2020,1276009,4747,1/17/2019,0,0,0,0,0
Slay the Spire,0.97752169,19.49,48164,2/18/2020,915659,68555,1/23/2019,0,0,0,0,0
RESIDENT EVIL 2 / BIOHAZARD RE:2,0.97247666,44.990002,314244,1/19/2020,1276009,68451,1/24/2019,1,0,0,1,0
ACE COMBAT 7: SKIES UNKNOWN,0.82574794,49.990002,28690,1/19/2020,1276009,11799,1/31/2019,1,0,0,0,0
ASTRONEER,0.89194623,23.790001,64365,12/16/2020,659345,56694,2/5/2019,0,0,0,0,0
Far Cry: New Dawn,0.76774255,37.990002,54881,2/20/2020,1410516,10441,2/15/2019,1,0,0,1,0
Touhou Luna Nights,0.97929805,13.99,101844,1/20/2020,1357375,7294,2/25/2019,0,0,0,0,0
Space Engineers,0.87904659,15.49,9940,8/19/2020,1150353,88315,2/28/2019,0,0,0,0,0
When the Darkness comes,0.91950741,0,28503,2/19/2020,1311802,5603,3/1/2019,0,0,0,0,0
Dawn of Man,0.85652443,19.49,31980,3/20/2020,1273772,8085,3/1/2019,0,0,0,0,0
Devil May Cry: 4 Special Edition,0.90684779,19.99,21426,2/19/2020,1311802,7214,3/7/2019,1,0,0,0,0
Sekiro: Shadows Die Twice,0.93932281,49.900002,279037,3/19/2020,1273772,83079,3/21/2019,0,0,0,0,0
Outward,0.76001204,34.990002,34644,4/19/2020,1234112,9963,3/26/2019,0,0,0,0,0
Unheard,0.97017905,5.1900001,12065,4/19/2020,1234112,16029,3/28/2019,0,0,0,0,0
Risk of Rain 2,0.96126168,14.99,46400,4/19/2020,1234112,83793,3/28/2019,1,0,0,1,0
Tropico 6,0.87062085,39.990002,30684,3/19/2020,1273772,11903,3/29/2019,1,0,0,0,0
Totally Accurate Battle Simulator,0.97393565,11.39,33236,4/18/2020,1011491,29619,4/1/2019,0,0,0,0,0
BLOCKPOST,0.75069949,0,2434,11/20/2020,1202989,10722,4/25/2019,0,0,0,1,0
Mordhau,0.83294132,29.99,65292,6/1/2019,1095466,65474,4/29/2019,0,0,1,0,0
Splitgate,0.7913926,0,87050,5/1/2019,1262560,8667,5/24/2019,0,0,1,1,0
